ppna,temp,ppt,date,latitude,longitude
479.9339783,23.40604022,41.54729897,12/18/2020,-31.54479166,-56.83242021
472.1633368,24.07828143,67.36280382,12/18/2020,-30.54895833,-56.63035951
419.6945545,24.07828143,67.36280382,12/18/2020,-30.55729166,-56.64731835
404.4862119,24.05658779,59.79768689,12/18/2020,-30.515625,-56.58432985
550.6267356,25.31009295,34.95767217,12/18/2020,-30.32395833,-57.29390181
443.5719281,25.33121693,36.66296301,12/18/2020,-30.309375,-57.31433343
474.4633651,25.31009295,34.95767217,12/18/2020,-30.31145833,-57.28417968
284.6958002,23.96234951,22.15888179,12/18/2020,-33.021875,-56.92586659
294.2839164,23.83729138,20.81706766,12/18/2020,-33.00104166,-56.88757912
245.9264607,23.83729138,20.81706766,12/18/2020,-33.03645833,-56.82842719
311.6884318,23.83729138,20.81706766,12/18/2020,-33.05520833,-56.81069895
276.5476925,23.7397107,21.64669794,12/18/2020,-33.071875,-56.74687434
320.2661552,23.63424195,25.83619714,12/18/2020,-33.015625,-56.68580088
186.2091716,23.83729138,20.81706766,12/18/2020,-33.08645833,-56.88309633
313.462724,23.69149293,27.23491477,12/18/2020,-32.878125,-56.69941308
300.7249166,23.63121926,27.24618473,12/18/2020,-32.890625,-56.69748723
244.4662672,23.63121926,27.24618473,12/18/2020,-32.89270833,-56.67897189
340.4244164,23.64699539,24.62858067,12/18/2020,-32.903125,-56.69308216
295.735942,23.73264225,23.24914847,12/18/2020,-32.91354166,-56.72705091
364.4139536,23.64699539,24.62858067,12/18/2020,-32.98645833,-56.67948237
321.3350663,23.63424195,25.83619714,12/18/2020,-33.01979166,-56.66363333
308.6860462,23.73264225,23.24914847,12/18/2020,-32.99479166,-56.70967366
321.378495,23.73264225,23.24914847,12/18/2020,-32.959375,-56.76887084
321.6923627,23.82929868,23.05986997,12/18/2020,-32.990625,-56.81628464
274.2739348,23.7397107,21.64669794,12/18/2020,-33.021875,-56.79914657
259.7875418,23.7397107,21.64669794,12/18/2020,-33.009375,-56.75631414
569.9123078,23.36091489,51.1068057,12/18/2020,-31.003125,-56.31742723
562.9752264,23.36091489,51.1068057,12/18/2020,-31.00520833,-56.38671519
398.0663811,23.40046567,57.23512416,12/18/2020,-30.99479166,-56.32951845
362.8088157,23.63424195,25.83619714,12/18/2020,-33.05520833,-56.66156014
318.3421153,23.63424195,25.83619714,12/18/2020,-33.04479166,-56.6797115
506.7458848,24.61176357,37.9924074,12/18/2020,-31.428125,-57.66983071
525.4679335,24.61176357,37.9924074,12/18/2020,-31.43645833,-57.67495733
566.7190481,23.24637225,53.19055644,12/18/2020,-31.034375,-56.29942976
556.4785946,23.24637225,53.19055644,12/18/2020,-31.034375,-56.27754749
562.6448892,23.24637225,53.19055644,12/18/2020,-31.009375,-56.26764356
603.4965906,23.24637225,53.19055644,12/18/2020,-31.01979166,-56.2713631
558.4606179,23.24637225,53.19055644,12/18/2020,-31.01145833,-56.28345808
415.4521725,23.72556217,20.19562735,12/18/2020,-32.32395833,-57.24469204
366.6099089,23.38899107,31.32406364,12/18/2020,-32.684375,-56.44983343
337.1763151,23.38899107,31.32406364,12/18/2020,-32.65520833,-56.43635855
335.0200079,23.38899107,31.32406364,12/18/2020,-32.66770833,-56.40465492
353.240804,23.38899107,31.32406364,12/18/2020,-32.640625,-56.42715583
427.8122042,24.07779315,46.60909266,12/18/2020,-30.75729166,-56.73070716
152.9941757,24.07779315,46.60909266,12/18/2020,-30.76770833,-56.71987449
423.6318522,24.07779315,46.60909266,12/18/2020,-30.75104166,-56.77308441
454.3325483,24.07779315,46.60909266,12/18/2020,-30.753125,-56.7912823
422.9534851,24.07779315,46.60909266,12/18/2020,-30.73020833,-56.73657229
174.2867809,24.07779315,46.60909266,12/18/2020,-30.76354166,-56.70529656
179.0768472,24.07779315,46.60909266,12/18/2020,-30.74270833,-56.73181309
419.1095668,23.56217396,41.4838,12/18/2020,-31.42395833,-56.85183807
374.4129593,23.61858207,24.72971865,12/18/2020,-32.69479166,-56.85250968
504.9934053,23.4850139,21.83813181,12/18/2020,-32.43229166,-57.0838098
321.6147454,23.27393689,32.30569993,12/18/2020,-32.83645833,-56.15953073
562.3518047,24.83588467,49.39992868,12/18/2020,-30.321875,-56.80033094
486.7545657,24.83588467,49.39992868,12/18/2020,-30.35520833,-56.72551581
460.3521819,25.00500437,70.53473217,12/18/2020,-30.29270833,-56.83410053
459.1773172,24.90752831,44.9993017,12/18/2020,-30.31770833,-56.81722245
490.1510246,24.90752831,44.9993017,12/18/2020,-30.30104166,-56.85340837
498.375078,24.90752831,44.9993017,12/18/2020,-30.303125,-56.83772528
466.5664501,24.84355766,69.45891259,12/18/2020,-30.35104166,-56.67240172
498.2682721,24.90752831,44.9993017,12/18/2020,-30.35104166,-56.88002389
464.090388,25.03395828,42.65584605,12/18/2020,-30.34895833,-56.94158107
536.1843622,24.90752831,44.9993017,12/18/2020,-30.303125,-56.86909467
426.8151332,24.90752831,44.9993017,12/18/2020,-30.31354166,-56.84617925
514.502767,24.90752831,44.9993017,12/18/2020,-30.321875,-56.86549523
429.1653096,24.84355766,69.45891259,12/18/2020,-30.365625,-56.69050944
458.5974571,24.84355766,69.45891259,12/18/2020,-30.378125,-56.69292822
503.7153724,24.90752831,44.9993017,12/18/2020,-30.365625,-56.84021286
491.2190835,24.90752831,44.9993017,12/18/2020,-30.37604166,-56.84385411
432.4591601,24.63627064,68.5846058,12/18/2020,-30.403125,-56.74608569
446.9096007,24.63627064,68.5846058,12/18/2020,-30.43020833,-56.70626375
485.3732735,24.83588467,49.39992868,12/18/2020,-30.38229166,-56.72915497
382.1702721,24.83588467,49.39992868,12/18/2020,-30.38229166,-56.75813476
478.3605597,24.84355766,69.45891259,12/18/2020,-30.315625,-56.63018738
402.4957464,24.84355766,69.45891259,12/18/2020,-30.35104166,-56.6023896
345.5551189,24.98678682,64.91695882,12/18/2020,-30.234375,-56.69907102
487.7108448,24.85315471,84.65526582,12/18/2020,-30.33229166,-56.5649973
422.3651023,24.84355766,69.45891259,12/18/2020,-30.38854166,-56.60478128
384.2201891,24.84355766,69.45891259,12/18/2020,-30.384375,-56.62168783
418.8587453,24.85315471,84.65526582,12/18/2020,-30.396875,-56.58787216
